FL_Vlength	FL_C	FL_Cmanner	FL_Cplace	FL_Ccoronal	FL_Cperipheral	FL_VC	FL_VlengthC	n_VCV	n_forms	tip_label
0	0.70486	0.21141	0.25473	0.05225	0.07183	1	0.70486	347	567	Gangulu
0.00394	0.68418	0.25013	0.25416	0.04562	0.08019	1	0.68933	339	731	Dyirbal
0.06575	0.55051	0.1705	0.16709	0.03382	0.04368	1	0.63943	340	575	Duungidjawu
0.00153	0.70928	0.32242	0.2341	0.0906	0.0443	1	0.71185	1459	3290	Djinang
0.01032	0.67327	0.25636	0.23452	0.04806	0.06252	1	0.69075	641	1200	Djabugay
0.10625	0.625	0.22872	0.23245	0.09714	0.05252	1	0.75464	636	1540	Dhayyi
0	0.7075	0.28121	0.18502	0.04205	0.05187	1	0.7075	376	611	Dharumbal
0.09303	0.61832	0.22623	0.20866	0.08682	0.03492	1	0.7433	222	600	Dhangu
0.00182	0.72854	0.32136	0.27131	0.11886	0.04542	1	0.73159	514	683	Bularnu
0.00225	0.69376	0.20869	0.26067	0.07659	0.06077	1	0.69774	387	758	Biri
0.00418	0.69409	0.21327	0.29397	0.08317	0.06681	1	0.70142	466	811	BidyaraGungabula
0.03047	0.66828	0.24058	0.16768	0.03816	0.03867	1	0.71386	303	459	Batyala
0.01426	0.70164	0.30302	0.28925	0.13556	0.04417	1	0.72024	1234	2328	Yulparija
0	0.72395	0.28815	0.32697	0.17092	0.04193	1	0.72395	330	684	Wirangu
0	0.72185	0.27451	0.32036	0.16207	0.04331	1	0.72185	381	629	Badimaya
0.01208	0.58093	0.15285	0.30916	0.07967	0.10098	1	0.6197	143	221	Ayapathu
0	0.66926	0.27323	0.1985	0.09931	0.02689	1	0.60572	84	196	Antekerrepenhe
0	0.70351	0.27717	0.28077	0.14272	0.04341	1	0.62913	99	200	CentralAnmatyerr
0	0.52414	0.1098	0.10403	0	0.03058	1	0.52414	31	208	AghuTharrnggala
0.00119	0.75647	0.37569	0.27673	0.16322	0.02433	1	0.75873	1424	2473	Adnyamathanha
0	0.66809	0.2706	0.2571	0.109	0.04913	1	0.52783	238	421	WesternArrarnta
0	0.65245	0.23813	0.20505	0.09309	0.0264	1	0.65245	759	1158	WembaWemba
0.08697	0.58487	0.21937	0.13792	0.03901	0.0269	1	0.69566	489	1084	Wailwan
0.00925	0.69355	0.27739	0.29508	0.20185	0.01512	1	0.7089	273	599	Warriyangga
0.00628	0.70974	0.30022	0.2887	0.13661	0.0464	1	0.72033	607	1006	Warnman
0.01112	0.71086	0.29084	0.28789	0.14042	0.04096	1	0.72671	731	1124	Warluwarra
0.01416	0.71182	0.31215	0.2816	0.14952	0.04305	1	0.7293	3215	8742	Warlpiri
0.00582	0.71947	0.32218	0.28166	0.14445	0.03964	1	0.72965	603	1315	Warlmanpa
0.00662	0.72007	0.31614	0.26438	0.13381	0.0314	1	0.73516	480	960	Wangkumara
0.04329	0.67558	0.29345	0.27602	0.12742	0.04273	1	0.72645	1290	2147	Wangkatja
0.00473	0.65626	0.27429	0.24996	0.11668	0.03734	1	0.56276	696	1087	Wakaya
0	0.62439	0.20563	0.22163	0.0701	0.04267	1	0.62439	556	2051	YirYoront
0.12688	0.58508	0.1564	0.31305	0.07216	0.10589	1	0.73324	473	1121	Umpila
0.02083	0.69163	0.26037	0.30239	0.17687	0.0271	1	0.72123	467	779	Thalanyji
0.01233	0.6813	0.23144	0.27589	0.14455	0.03109	1	0.706	109	166	Yingkarta
0.08893	0.65437	0.26846	0.2164	0.08822	0.03856	1	0.75825	841	2103	Ritharrngu
0.02391	0.6723	0.27804	0.22833	0.13676	0.01582	1	0.70729	492	1218	Yindjibarndi
0.00278	0.68731	0.25063	0.2191	0.04339	0.06254	1	0.69114	964	2032	Yidiny
0	0.73014	0.30407	0.3066	0.1704	0.04222	1	0.73014	449	674	PittaPitta
0.02226	0.68651	0.26693	0.2751	0.15721	0.02874	1	0.71776	514	988	Payungu
0.00621	0.7036	0.28545	0.28758	0.17838	0.0263	1	0.72005	327	743	Panyjima
0.08352	0.63203	0.22713	0.27499	0.14108	0.03772	1	0.73768	748	1728	Paakantyi
0	0.71967	0.30888	0.27831	0.14038	0.02983	1	0.71967	143	268	Nyiyaparli
0.0104	0.70165	0.30451	0.28469	0.14575	0.03828	1	0.71651	1002	1695	Nyangumarta
0	0.72478	0.30235	0.30142	0.16534	0.03305	1	0.72478	176	446	Yarluyandi
0.03797	0.69391	0.31122	0.25961	0.15162	0.02705	1	0.76566	282	393	Nukunu
0.03762	0.68325	0.27491	0.3371	0.18637	0.04079	1	0.74224	427	603	Nhanta
0.05629	0.5912	0.20324	0.15247	0.0482	0.02366	1	0.68232	153	405	Ngiyambaa
0.00521	0.71457	0.28837	0.27773	0.13723	0.04152	1	0.72218	1351	4140	Yanyuwa
0.00179	0.71373	0.29179	0.28442	0.17667	0.02628	1	0.71628	633	1343	Ngarluma
0.01026	0.71113	0.31151	0.28721	0.15215	0.03765	1	0.72518	940	1265	Ngarla
0.00949	0.71708	0.30687	0.2615	0.11764	0.04575	1	0.73191	870	1425	Ngarinyman
0.00167	0.7258	0.32135	0.31556	0.16126	0.046	1	0.72914	453	894	Ngamini
0.05555	0.6531	0.24215	0.23032	0.10014	0.03789	1	0.71906	873	1467	Muruwari
0	0.73403	0.3103	0.26269	0.13867	0.03556	1	0.73403	548	1462	Yandruwandha
0.02255	0.69462	0.29269	0.25347	0.11766	0.04482	1	0.72638	509	857	Mudburra
0.02788	0.54951	0.15725	0.16707	0.03136	0.04498	1	0.62028	255	469	Mbakwithi
0.01071	0.70697	0.2794	0.30784	0.17009	0.03833	1	0.72185	259	468	Mirniny
0.00239	0.72413	0.27589	0.2978	0.13627	0.04751	1	0.7284	397	764	Yalarnnga
0.01312	0.69776	0.30471	0.25214	0.10419	0.04394	1	0.71492	749	1316	MangalaMcK
0	0.7233	0.29663	0.29406	0.16153	0.03612	1	0.7233	144	326	Malyangapa
0	0.63935	0.17513	0.18236	0.02343	0.05506	1	0.63935	236	608	Linngithigh
